"arquivo","variavel","descricao","tipo_armazenamento","nivel_medida","fonte","preenchimento","cobertura_temporal","linhas"
"mandatos.csv","composicao_coligacao","Partidos que compoem a coligacao","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","regra_chapa","Como a candidatura do vice foi ligada ao titular eleito da mesma chapa, so nos cargos de vice. Valores numero_do_titular (mesmo numero do titular, ou o numero dele seguido de 1 em 1998 e 2000, com situacao vazia no cadastro), numero_titular_imputado (vice de titular imputado por votos, com situacao no cadastro igual a do titular), sq_coligacao (mesma coligacao do titular na unidade, com correspondencia de um para um) e composicao_coligacao (mesma composicao da coligacao escrita por extenso). NA nos titulares e nos demais cargos","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","2.6%","1998(1)2022",4253
"mandatos.csv","reeleicao_declarada","Candidato declarou concorrer a reeleicao (S/N, TSE)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","43.3%","1998(1)2022",4253
"mandatos.csv","situacao_totalizacao","Situacao de totalizacao no turno decisivo (ELEITO, ELEITO POR QP, ELEITO POR MEDIA; ELEITO (IMPUTADO DO TITULAR) para vices; ELEITO (IMPUTADO POR VOTOS) para majoritario sem vencedor marcado pelo TSE)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","fonte_situacao","Origem da situacao, entre cadastro (consulta_cand), votacao (votacao_candidato_munzona), imputacao_titular e imputacao_votos","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","votos_t1","Votos nominais no 1o turno","inteiro","Numerico","TSE (consulta_cand e votacao_candidato_munzona)","95.4%","1998(1)2022",4253
"mandatos.csv","votos_turno_decisivo","Votos nominais no turno decisivo","inteiro","Numerico","TSE (consulta_cand e votacao_candidato_munzona)","95.4%","1998(1)2022",4253
"mandatos.csv","mandato_inicio","Inicio convencional do mandato (1o de fevereiro pos-eleicao para senador e deputados; 1o de janeiro para os demais)","data ISO","Data","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","mandato_fim","Fim convencional do mandato (31 de janeiro apos o ultimo ano para senador e deputados; 31 de dezembro para os demais)","data ISO","Data","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","forma_saida","Forma de saida do cargo, vocabulario fechado (fim_regular, renuncia, falecimento, cassacao, afastamento, licenca, nao_tomou_posse, suplente_efetivado, perda_do_mandato_inferida_por_eleicao_suplementar, substituicao_inferida_munic, assumiu_titular, aposentadoria, impeachment, retotalizacao, outro, nao_observado). Em senador, deputado federal, presidente, vice-presidente, governador e vice-governador, licenca e afastamento temporario nao encerram mandato, e o periodo fora do exercicio fica em data/interregnos_legislativo_federal.csv; retotalizacao e a perda da vaga por nova totalizacao dos votos, sem ato ilicito","texto","Categorico","Autor, a partir de TSE","100.0%","1998(1)2022",4253
"mandatos.csv","antecessor_id","id_pessoa de quem ocupou a mesma posicao no mandato anterior (executivos)","texto","Categorico","Autor, a partir de TSE","4.0%","1998(1)2022",4253
"mandatos.csv","sucessor_id","id_pessoa de quem ocupou a mesma posicao no mandato seguinte (executivos)","texto","Categorico","Autor, a partir de TSE","4.0%","1998(1)2022",4253
"mandatos.csv","via_sucessao","Via institucional da sucessao; v1 = nova_eleicao (executivos)","texto","Categorico","Autor, a partir de TSE","4.6%","1998(1)2022",4253
"mandatos.csv","reeleito_mesma_pessoa","Antecessor imediato e a mesma pessoa (executivos)","logico","Binario","Autor, a partir de TSE","4.0%","1998(1)2022",4253
"mandatos.csv","data_posse","Inicio do primeiro periodo de exercicio registrado (Camara, Senado, Assembleias, Wikidata)","data ISO","Data","Autor, a partir de TSE","99.5%","1998(1)2022",4253
"mandatos.csv","data_fim_efetiva","Fim do ultimo periodo de exercicio registrado, ou data da saida inferida","data ISO","Data","Autor, a partir de TSE","86.1%","1998(1)2022",4253
"mandatos.csv","precisao_data_fim","Precisao de data_fim_efetiva, com os valores ato (data do ato registrado pela casa ou por fonte oficial), convencional (fim regular na data constitucional), intervalo (forma confirmada e dia exato fora do alcance das fontes, com os limites na tabela curada). Preenchida nesta versao para senador, deputado federal, presidente, vice-presidente, governador e vice-governador, e vazia nos demais cargos e no mandato sem saida","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","86.1%","1998(1)2022",4253
"mandatos.csv","fonte_forma_saida","Fonte da forma de saida (camara_api, senado_api, camara_biografia, fonte_oficial_curada, base_dhbb_curada, noticia_orgao_publico_curada, pista_nao_oficial, assembleia_api, sapl_municipal, sapl_observacao, portal_camara, tce, assembleia_historico, assembleia_portal, assembleia_inventario, diario_oficial, wikipedia, wikidata, wikidata_obito, datajud, tse_suplementar, ibge_munic, cargo_incompativel, derivado_titular, data_fim_efetiva). sapl_observacao e o ato escrito no campo de texto livre do SAPL, lido por R/54; assembleia_inventario e a folha e a frequencia das casas estaduais; cargo_incompativel e a posse em outro cargo eletivo deduzida do proprio banco. camara_biografia e a biografia oficial do deputado na Camara, fonte da legislatura 1999-2003; fonte_oficial_curada e o evento das tabelas em ref/ com fonte oficial, e nos casos federais especiais tambem com materia e trecho literal conferido. Nos governos e na Presidencia, o evento curado sem fonte oficial leva o rotulo da melhor fonte que tem, base_dhbb_curada para o verbete do DHBB/CPDOC-FGV, noticia_orgao_publico_curada para a noticia publicada por orgao publico e pista_nao_oficial quando so ha imprensa ou Wikipedia, caso em que o mandato consta de docs/EXCECOES_CONHECIDAS.csv. derivado_titular marca o vice que assume quando o titular sai; data_fim_efetiva marca o fim efetivo registrado que iguala ou ultrapassa o fim convencional, promovido a fim_regular","texto","Categorico","Autor, a partir de TSE","86.1%","1998(1)2022",4253
"mandatos.csv","exercicio_confirmado","Data mais recente em que o titular foi observado em exercicio (MUNIC; registro da candidatura a reeleicao no TSE)","data ISO","Data","Autor, a partir de TSE","45.0%","1998(1)2022",4253
"mandatos.csv","fonte_exercicio","Fonte da confirmacao de exercicio (ibge_munic; ibge_munic_ampliado; tse_reeleicao; receita_cnpj; sapl_presenca; tce_ac), separadas por ponto e virgula quando ha mais de uma. sapl_presenca e a lista de presenca em plenario, na data da ultima presenca; ibge_munic_ampliado e a MUNIC lida por atributos, so no lado que confirma o eleito; tce_ac e o acordao de contas anuais do Tribunal de Contas do Acre, na data de inicio do periodo julgado","texto","Categorico","Autor, a partir de TSE","45.0%","1998(1)2022",4253
"mandatos.csv","universo_comparavel","A unidade (municipio, UF ou casa nacional) teve varredura por fonte institucional naquela eleicao. Dentro do universo a ausencia de saida observada significa que o mandato terminou; fora dele significa que ninguem olhou. Use esta coluna antes de comparar forma de saida entre esferas, cargos ou anos","logico","Binario","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","motivo_sem_saida","Motivo da ausencia de forma de saida observada, derivado de universo_comparavel, mandato_fim e forma_saida sem fonte nova. Valores nao_se_aplica (saida observada), em_curso (fim convencional posterior a data de referencia da reconstrucao, output/data_referencia.txt), fim_regular_presumido (dentro do universo comparavel, em que a casa foi varrida) e fonte_ausente (fora dele)","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"mandatos.csv","chave_tse","Chave de juncao com bases derivadas do TSE (ano_eleicao, cd_cargo, sg_ue, nr_candidato), unica em todas as linhas (R/53 reprova duplicata). Preferir ao SQ_CANDIDATO, que so e unico nacionalmente a partir de 2010","texto","Categorico","TSE (consulta_cand e votacao_candidato_munzona)","100.0%","1998(1)2022",4253
"posicoes_ano.csv","id_mandato","Chave para mandatos.csv","texto","Categorico","Autor, identificador construido na deduplicacao","100.0%","1998(1)2022",18092
"posicoes_ano.csv","id_pessoa","Identificador estavel da pessoa","texto","Categorico","Autor, identificador construido na deduplicacao","100.0%","1998(1)2022",18092
"posicoes_ano.csv","cd_cargo","Codigo TSE do cargo","inteiro","Numerico","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","cargo","Descricao do cargo","texto","Categorico","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","esfera","Esfera (municipal, estadual ou federal)","texto","Categorico","Autor, a partir de Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","sg_uf","UF da posicao","texto","Categorico","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","sg_ue","Codigo TSE da unidade eleitoral","texto","Categorico","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","nm_ue","Nome da unidade eleitoral","texto","Categorico","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","ano_eleicao","Ano da eleicao de origem","inteiro","Ordinal","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","sg_partido","Sigla do partido na eleicao de origem","texto","Categorico","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","nr_partido","Numero do partido na eleicao de origem","inteiro","Numerico","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"posicoes_ano.csv","ano","Ano-calendario em que a pessoa ocupa a posicao","inteiro","Ordinal","Autor, a partir de mandatos.csv","100.0%","1998(1)2022",18092
"pessoas.csv","id_pessoa","Identificador estavel da pessoa","texto","Categorico","Autor, identificador construido na deduplicacao","100.0%",NA,2155
"pessoas.csv","nome","Nome completo (registro mais recente no TSE)","texto","Categorico","TSE (consulta_cand)","100.0%",NA,2155
"pessoas.csv","nome_urna_recente","Nome de urna mais recente","texto","Categorico","TSE (consulta_cand)","99.5%",NA,2155
"pessoas.csv","dt_nascimento","Data de nascimento","data ISO","Data","TSE (consulta_cand)","100.0%",NA,2155
"pessoas.csv","genero","Genero declarado ao TSE","texto","Categorico","TSE (consulta_cand)","100.0%",NA,2155
"pessoas.csv","nr_titulo_eleitoral","Titulo de eleitor (12 digitos, divulgado pelo TSE)","texto","Categorico","TSE (consulta_cand)","100.0%",NA,2155
"pessoas.csv","nr_cpf","CPF (11 digitos, divulgado pelo TSE)","texto","Categorico","TSE (consulta_cand)","99.9%",NA,2155
"pessoas.csv","n_mandatos","Numero de mandatos da pessoa no banco","inteiro","Numerico","TSE (consulta_cand)","100.0%",NA,2155
"pessoas.csv","primeiro_ano_eleito","Primeiro ano em que foi eleita","inteiro","Numerico","TSE (consulta_cand)","100.0%",NA,2155
"pessoas.csv","ultimo_ano_eleito","Ultimo ano em que foi eleita","inteiro","Numerico","TSE (consulta_cand)","100.0%",NA,2155
"pessoas.csv","chave_dedup","Regra que identificou a pessoa (titulo, cpf ou nome_nascimento)","texto","Categorico","Autor, a partir de TSE","100.0%",NA,2155
"pessoas.csv","dedup_suspeita_fusao","Leitura da fusao por documento que R/03 manteve porque nome ou nascimento coincidem entre as candidaturas unidas por um titulo ou CPF (nome_diferente_mesmo_nascimento, mesmo_nome_nascimento_diferente, mesmo_nome_e_nascimento_documento_reemitido); NA quando nao ha suspeita. A lista das fusoes desfeitas esta em output/verificacao/fusao_documentos_separacao.csv","texto","Categorico","TSE (consulta_cand)","0.1%",NA,2155
"pessoas.csv","dedup_ponte_nome_nascimento","Nome e data de nascimento sao a unica chave de identidade desta pessoa, sem titulo nem CPF em nenhuma candidatura (auditoria em data_v1/auditoria_homonimos.csv)","logico","Binario","Autor, a partir de TSE","100.0%",NA,2155
"pessoas.csv","dedup_auditoria","Classificacao da auditoria de homonimos (consistente, suspeito, indeterminado) para as pessoas auditadas em data_v1/auditoria_homonimos.csv; nao_auditado para as demais","texto","Categorico","Autor, a partir de TSE","100.0%",NA,2155
"filiacoes.csv","id_pessoa","Identificador estavel da pessoa","texto","Categorico","Autor, a partir de TSE","100.0%",NA,5942
"filiacoes.csv","sigla_partido","Sigla do partido da filiacao","texto","Categorico","TSE (listas de filiacao, via Base dos Dados)","100.0%",NA,5942
"filiacoes.csv","sg_uf","UF da zona eleitoral da filiacao","texto","Categorico","TSE (listas de filiacao, via Base dos Dados)","100.0%",NA,5942
"filiacoes.csv","cd_municipio_tse","Codigo TSE do municipio da zona eleitoral","texto","Categorico","TSE (listas de filiacao, via Base dos Dados)","100.0%",NA,5942
"filiacoes.csv","data_filiacao","Data de filiacao","data ISO","Data","TSE (listas de filiacao, via Base dos Dados)","99.6%",NA,5942
"filiacoes.csv","situacao_registro","Situacao do registro na lista (REGULAR, CANCELADO, DESFILIADO, ...)","texto","Categorico","TSE (listas de filiacao, via Base dos Dados)","100.0%",NA,5942
"filiacoes.csv","data_desfiliacao","Data de desfiliacao, quando houve","data ISO","Data","TSE (listas de filiacao, via Base dos Dados)","28.3%",NA,5942
"filiacoes.csv","data_cancelamento","Data de cancelamento, quando houve","data ISO","Data","TSE (listas de filiacao, via Base dos Dados)","44.8%",NA,5942
"filiacoes.csv","motivo","Motivo de desfiliacao ou cancelamento","texto","Categorico","TSE (listas de filiacao, via Base dos Dados)","42.7%",NA,5942
"filiacoes.csv","fonte","lista_atual (extracao TSE 2026) ou lista_antiga (listas historicas ate 2019)","texto","Categorico","TSE (listas de filiacao, via Base dos Dados)","100.0%",NA,5942
"filiacoes.csv","data_referencia","Data de extracao ou processamento da lista de origem","data ISO","Data","TSE (listas de filiacao, via Base dos Dados)","29.9%",NA,5942
"exercicio_camara.csv","id_pessoa","Identificador da pessoa no BOCEL (NA para suplente fora do banco)","texto","Categorico","Autor, a partir de Camara dos Deputados","94.1%","1998(1)2022",6329
"exercicio_camara.csv","id_mandato","Mandato do BOCEL a que o periodo pertence (cd_cargo 6, eleicao que abre a legislatura)","texto","Categorico","Autor, a partir de Camara dos Deputados","73.5%","1998(1)2022",6329
"exercicio_camara.csv","id_deputado_camara","id do deputado na API da Camara","inteiro","Numerico","Camara dos Deputados (API de Dados Abertos)","99.9%","1998(1)2022",6329
"exercicio_camara.csv","legislatura","Numero da legislatura (51 = 1999-2003 ... 57 = 2023-2027)","inteiro","Ordinal","Camara dos Deputados (API de Dados Abertos)","100.0%","1998(1)2022",6329
"exercicio_camara.csv","ano_eleicao","Ano da eleicao que abriu a legislatura","inteiro","Ordinal","Camara dos Deputados (API de Dados Abertos)","100.0%","1998(1)2022",6329
"exercicio_camara.csv","nome_civil","Nome civil na Camara","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","99.9%","1998(1)2022",6329
"exercicio_camara.csv","nome_parlamentar","Nome parlamentar","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","99.9%","1998(1)2022",6329
"exercicio_camara.csv","cpf","CPF (divulgado pela Camara)","inteiro","Numerico","Camara dos Deputados (API de Dados Abertos)","99.9%","1998(1)2022",6329
"exercicio_camara.csv","dt_nascimento","Data de nascimento (Camara)","data ISO","Data","Camara dos Deputados (API de Dados Abertos)","99.9%","1998(1)2022",6329
"exercicio_camara.csv","dt_falecimento","Data de falecimento (arquivo em massa da Camara)","data ISO","Data","Camara dos Deputados (API de Dados Abertos)","9.9%","1998(1)2022",6329
"exercicio_camara.csv","sg_uf","UF","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","100.0%","1998(1)2022",6329
"exercicio_camara.csv","sg_partido","Partido no ultimo status","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","90.6%","1998(1)2022",6329
"exercicio_camara.csv","condicao","titular ou suplente","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","100.0%","1998(1)2022",6329
"exercicio_camara.csv","efetivado","Suplente efetivado como titular (logico)","logico","Binario","Camara dos Deputados (API de Dados Abertos)","100.0%","1998(1)2022",6329
"exercicio_camara.csv","data_inicio_exercicio","Inicio do periodo (evento Entrada no historico)","data ISO","Data","Camara dos Deputados (API de Dados Abertos)","86.8%","1998(1)2022",6329
"exercicio_camara.csv","data_fim_exercicio","Fim do periodo (evento Saida); NA se em curso","data ISO","Data","Camara dos Deputados (API de Dados Abertos)","80.3%","1998(1)2022",6329
"exercicio_camara.csv","situacao_final","Situacao ao fim do periodo (texto da Camara ou marcador do script)","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","100.0%","1998(1)2022",6329
"exercicio_camara.csv","forma_saida","Forma de saida no vocabulario fechado","texto","Categorico","Autor, a partir de Camara dos Deputados","91.8%","1998(1)2022",6329
"exercicio_camara.csv","descricao_entrada","Texto original do evento de entrada","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","99.9%","1998(1)2022",6329
"exercicio_camara.csv","descricao_saida","Texto original do evento de saida","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","80.3%","1998(1)2022",6329
"exercicio_camara.csv","regra_pareamento","Regra que pareou com o BOCEL (cpf, nome+nascimento, ...)","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","94.0%","1998(1)2022",6329
"exercicio_camara.csv","fonte","camara_api","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","100.0%","1998(1)2022",6329
"exercicio_camara.csv","url_fonte","URL do recurso na API","texto","Categorico","Camara dos Deputados (API de Dados Abertos)","99.9%","1998(1)2022",6329
"exercicio_senado.csv","id_pessoa","Identificador da pessoa no BOCEL (NA para suplente fora do banco)","texto","Categorico","Autor, a partir de Senado Federal","70.2%",NA,707
"exercicio_senado.csv","id_mandato","Mandato do BOCEL (cd_cargo 5)","texto","Categorico","Autor, a partir de Senado Federal","60.1%",NA,707
"exercicio_senado.csv","codigo_senador","Codigo do parlamentar no Senado","inteiro","Numerico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","nome_senado","Nome completo no Senado","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","nome_parlamentar","Nome parlamentar","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","dt_nascimento","Data de nascimento (Senado)","data ISO","Data","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","sexo","Sexo (Senado)","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","sg_uf","UF","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","legislatura","Primeira legislatura do mandato","inteiro","Ordinal","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","leg_segunda","Segunda legislatura do mandato (mandato de 8 anos)","inteiro","Numerico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","ano_eleicao_ref","Ano da eleicao de referencia","inteiro","Ordinal","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","codigo_mandato","Codigo do mandato no Senado","inteiro","Numerico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","condicao","titular ou suplente","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","participacao","Descricao de participacao (Senado)","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","titular_codigo","Codigo do titular, para suplentes","inteiro","Numerico","Senado Federal (API de Dados Abertos)","36.8%",NA,707
"exercicio_senado.csv","titular_nome","Nome do titular, para suplentes","texto","Categorico","Senado Federal (API de Dados Abertos)","36.8%",NA,707
"exercicio_senado.csv","codigo_exercicio","Codigo do exercicio","inteiro","Numerico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","data_inicio_exercicio","Inicio do exercicio","data ISO","Data","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","data_fim_exercicio","Fim do exercicio; NA se em curso","data ISO","Data","Senado Federal (API de Dados Abertos)","88.5%",NA,707
"exercicio_senado.csv","sigla_causa","Sigla da causa de afastamento (Senado)","texto","Categorico","Senado Federal (API de Dados Abertos)","88.4%",NA,707
"exercicio_senado.csv","causa_afastamento","Descricao da causa de afastamento (Senado)","texto","Categorico","Senado Federal (API de Dados Abertos)","88.4%",NA,707
"exercicio_senado.csv","forma_saida","Forma de saida no vocabulario fechado","texto","Categorico","Autor, a partir de Senado Federal","88.5%",NA,707
"exercicio_senado.csv","metodo_pareamento","Regra que pareou com o BOCEL","texto","Categorico","Autor, a partir de Senado Federal","70.2%",NA,707
"exercicio_senado.csv","fonte","senado_api","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"exercicio_senado.csv","url_fonte","URL do recurso na API","texto","Categorico","Senado Federal (API de Dados Abertos)","100.0%",NA,707
"camara_biografia_eventos.csv","id_deputado_camara","Id do deputado na API da Camara","inteiro","Numerico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",4969
"camara_biografia_eventos.csv","secao","Secao da biografia em que o evento apareceu","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",4969
"camara_biografia_eventos.csv","leg_inicio","Legislatura a que o evento se refere","inteiro","Numerico","Autor, a partir das tabelas do BOCEL","92.9%","1954(1)2022",4969
"camara_biografia_eventos.csv","tipo","Tipo do evento (posse, licenca, renuncia, perda_mandato, aposentadoria, afastamento, suplencia, falecimento)","texto","Categorico","Autor, a partir de Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",4969
"camara_biografia_eventos.csv","datas","Datas do evento, no texto da biografia","texto","Categorico","Autor, a partir das tabelas do BOCEL","98.6%","1954(1)2022",4969
"camara_biografia_eventos.csv","trecho","Excerto da pagina que sustenta a leitura","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",4969
"camara_biografia_eventos.csv","url","URL da biografia","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",4969
"camara_biografia_eventos.csv","ano_eleicao","Eleicao do BOCEL correspondente a legislatura","inteiro","Ordinal","Autor, a partir das tabelas do BOCEL","92.9%","1954(1)2022",4969
"camara_biografia_posses.csv","id_deputado_camara","Id do deputado na API da Camara","inteiro","Numerico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",5298
"camara_biografia_posses.csv","leg_inicio","Legislatura da posse","inteiro","Numerico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",5298
"camara_biografia_posses.csv","sg_uf","UF","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",5298
"camara_biografia_posses.csv","data_posse","Data de posse na biografia","data ISO","Data","Autor, a partir de Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",5298
"camara_biografia_posses.csv","url","URL da biografia","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",5298
"camara_biografia_posses.csv","ano_eleicao","Eleicao do BOCEL correspondente","inteiro","Ordinal","Autor, a partir das tabelas do BOCEL","100.0%","1954(1)2022",5298
"interregnos_legislativo_federal.csv","id_mandato","Mandato do BOCEL (cd_cargo 5 ou 6)","texto","Categorico","Autor, a partir de Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","id_pessoa","Pessoa","texto","Categorico","Autor, a partir de Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","casa","senado ou camara","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","cargo","Cargo","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","sg_uf","UF","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","ano_eleicao","Eleicao do mandato","inteiro","Ordinal","Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","tipo","Causa do afastamento no vocabulario da fonte (licenca, afastamento, suspensao)","texto","Categorico","Autor, a partir de Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","causa_original","Texto original da causa na fonte","texto","Categorico","Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","inicio_fora","Inicio do periodo fora do exercicio","data ISO","Data","Autor, a partir das tabelas do BOCEL","100.0%","1998(1)2022",1316
"interregnos_legislativo_federal.csv","fim_fora","Fim do periodo, quando a casa registra a volta ou o mandato ja acabou","data ISO","Data","Autor, a partir das tabelas do BOCEL","98.5%","1998(1)2022",1316
