"rodada","amostra","idx","id_mandato_bocel","data_diario","confianca","evento_inferido","nome","correto","motivo_erro","trecho"
"antes_regra_apertada","30_alta",11,"M2020_89575_11_40_210000686551","2021-07-28","alta","renuncia","GILSON ADRIANO BECKER",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 28 de julho de 2021."
"antes_regra_apertada","30_alta",12,"M2020_65579_13_45123_250001053989","2022-11-08","alta","renuncia","JOSE CARLOS FERNANDES",1,"","PRESIDENTE DA CÂMARA ATOS DA MESA Ato da Presidência 002/2022 Dispõe sobre a convocação de suplente. Fábio Bruno Gurgel Benini, Presidente da Câmara Municipal de Itaporanga, Estado de São Paulo, no uso de suas atribuições legais, e: Considerando a <<renúncia>> protocolada pelo Sr. Vereador José Carl"
"antes_regra_apertada","30_alta",13,"M2024_92185_13_43333_270002303326","2025-04-03","alta","suplente_efetivado","VIVIANE MARTINS DE ABREU",0,"evento_errado_e_licenca_nao_suplente","concedida licença por interesse particular, sem remuneração, à vereadora VIVIANE MARTINS DE ABREU CUSTÓDIO, pelo prazo de 90 (noventa) dias, nos termos do artigo 19, inciso III, do Regimento Interno. Art. 2º. Fica determinado que se proceda a <<convocação do Suplente>>, nos termos do Regimento Inter"
"antes_regra_apertada","30_alta",14,"M2020_72435_13_45120_250000670827","2024-05-17","alta","renuncia","THIAGO DA SILVA SCHIMING",1,"","consequentemente o Sr. Alfredo Pissinato Junior foi empossado como Vereador Suplente, no dia 9 de maio de 2024; Considerando que o renunciante é o Presidente (Titular) eleito da Câmara Municipal de Votorantim para o biênio 2023/2024; Considerando que a <<renúncia>> do Vereador Thiago da Silva Schimi"
"antes_regra_apertada","30_alta",15,"M2020_15598_11_12_60000709580","2024-12-30","alta","renuncia","IVO FERREIRA GOMES",0,"renuncia_de_conselheiro_dirigida_ao_prefeito"," 5º Suplente do Conselho de Administração do Serviço Autônomo de Água e Esgoto de Sobral/CE, a partir de 31 de dezembro de 2024. CLEVIO GOMES VASCONCELOS MENDES - CPF: 043.210.783-50. COMUNICADO DE <<RENÚNCIA>> - Ao Excelentíssimo Senhor Prefeito, Sr. Ivo Ferreira Gomes. ASSUNTO: Pedido de <<Renúnci"
"antes_regra_apertada","30_alta",16,"M2024_66117_13_22250_250002038266","2025-07-04","alta","renuncia","LUIZ MARCELO COSTA",0,"renuncia_a_comissao","Municipal da Estância Turística de Joanópolis, Estado de São Paulo, usando de suas atribuições legais, e considerando: - o impedimento desta Presidência em fazer parte das Comissões Permanentes conforme prevê o art. 14 do Regimento Interno; - a <<renúncia>> do Vereador Luiz Marcelo Costa nas Comissõ"
"antes_regra_apertada","30_alta",17,"M2020_89575_11_40_210000686551","2021-08-10","alta","renuncia","GILSON ADRIANO BECKER",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 10 de agosto de 2021"
"antes_regra_apertada","30_alta",18,"M2020_58335_13_25222_190000736265","2023-02-03","alta","renuncia","ARTHUR CARVALHO MONTEIRO",1,"","inciso II, c/c o artigo 257, inciso I do Regimento Interno da Câmara Municipal de Duque de Caxias o Sr. ROBERTO GABRIEL DE SOUZA para, no prazo de trinta dias, assumir a Titularidade do cargo de Vereador nesta Casa Legislativa, em razão da <<Renúncia>> ao cargo pelo Vereador ARTHUR CARVALHO MONTEIRO"
"antes_regra_apertada","30_alta",19,"M2020_75353_13_13123_160001202847","2022-08-10","alta","cassacao","RENATO DE ALMEIDA FREITAS JUNIOR",1,"","709-97 - matrícula: 2110 PALÁCIO RIO BRANCO, 10 de agosto de 2022. Leonidas Edson Kuzma : Presidente RESOLUÇÃO Nº 5 A CÂMARA MUNICIPAL DE CURITIBA, CAPITAL DO ESTADO DO PARANÁ, PROMULGA A SEGUINTE RESOLUÇÃO: Art. 1º É decretada a <<perda do mandato>> do Vereador Renato de Almeida Freitas Junior, nos"
"antes_regra_apertada","30_alta",20,"M2020_75353_13_13123_160001202847","2022-08-11","alta","cassacao","RENATO DE ALMEIDA FREITAS JUNIOR",1,"","CÂMARA MUNICIPAL DE CURITIBA, no uso de suas atribuições legais, RESOLVE: DECLARAR vaga uma cadeira neste Legislativo, em razão da publicação no Diário Oficial do Município nº 152, de 10 de agosto de 2022, da Resolução nº 05/2022 que """"Decreta a <<perda do mandato>> do Vereador Renato de Almeida Fre"
"antes_regra_apertada","30_alta",21,"M2024_32450_11_55_260002136947","2026-02-12","alta","renuncia","LUCAS FREIRE VASCO",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","anexos II, III e IV são obrigatórias e a do anexo V é facultativa, conforme decisão pessoal e espontânea do candidato. Observação: O não comparecimento para apresentação da documentação no prazo acima estipulado, fica declarado pelo convocado a <<renúncia>> tácita e ou desistência pela vaga pleitead"
"antes_regra_apertada","30_alta",22,"M2020_58122_13_55333_190000861211","2024-05-13","alta","cassacao","ELERSON LEANDRO ALVES",1,"","Barbosa Presidenta do CONSELHO MUNICIPAL DE SEGURANÇA ALIMENTAR E NUTRICIONAL Atos do Poder Legislativo ATO nº 062/2024 O Presidente da Câmara Municipal de Queimados, no uso das suas atribuições legais e regimentais; Considerando a <<Cassação>> do Vereador Elerson Leandro Alves, através do Decreto L"
"antes_regra_apertada","30_alta",23,"M2020_89575_11_40_210000686551","2021-09-09","alta","renuncia","GILSON ADRIANO BECKER",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","acima referidos. Os candidatos devem se apresentar no Departamento de Recursos Humanos, prédio sede da Prefeitura Municipal, na Av. Nestor Frederico Henn, 1645, Centro, nesta cidade. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao estágio. Gabinete do Prefeito, 09 de "
"antes_regra_apertada","30_alta",24,"M2020_62294_11_17_250001175656","2024-04-23","alta","cassacao","LEANDRO MAFFEIS MILANI",1,"","LEGISLATIVO Nº 388, DE 22 DE ABRIL DE 2.024. FICA DECRETADA A <<CASSAÇÃO>> D O M A N D A T O D O P R E F E I T O M U N I C I P A L D E B I R I G U I , S R . LEANDRO MAFFEIS MILANI. Projeto de Decreto Legislativo nº 11/2024, de autoria da Mesa Diretora. O Presidente da Câmara Municipal de Birigui: FA"
"antes_regra_apertada","30_alta",25,"M2020_89575_11_40_210000686551","2022-05-18","alta","renuncia","GILSON ADRIANO BECKER",0,"assinatura_do_ato_renuncia_de_candidato_ou_contrato","se apresentar no setor de Recursos Humanos, na Secretaria Municipal de Administração da Prefeitura Municipal de Vera Cruz, situada na Avenida Nestor Frederico Henn, 1645. O NÃO comparecimento no prazo estipulado será interpretado como <<renúncia>> ao contrato. Gabinete do Prefeito, 18 de maio de 202"
"antes_regra_apertada","30_alta",26,"M2016_71358_13_45000_250000022020","2019-10-08","alta","renuncia","ACACIO AUGUSTO TOBIAS VIEIRA",0,"renuncia_a_cargo_da_mesa","Câmara Municipal: Vereador Antônio César Peghini Solicita apuração da conduta do funcionário Paulo Ricardo Pereira e, também, cópia das lmagens das câmeras de monitoramento do plenário. Nos termos do artigo 31, do Regimento Interno, em virtude da <<renúncia>>, no último dia 23, do Vereador Acácio Au"
"antes_regra_apertada","30_alta",27,"M2020_59013_13_25111_190000636050","2023-01-10","alta","licenca","DAVI PERINI VERMELHO",1,"","Edital, F A Z S A B E R, a quem possa interessar, a convocação a esta Casa Legislativa da Ilma Vereadora ANDRÉIA MACIEL GONÇALVES, primeira suplente do DEM – (Democratas), a partir do dia 03 de Janeiro do ano corrente, em face do pedido de <<licença do Vereador>> DAVI PERINI VERMELHO, através do pro"
"antes_regra_apertada","30_alta",28,"M2020_71358_13_15444_250001080643","2023-04-12","alta","suplente_efetivado","CÁSSIA GUARNEIRE SOARES DANEZE",0,"nome_acompanha_posse_de_suplente_de_terceiro","Secretário: Renato Aparecido Schiavinato .....................................O Senhor Presidente solicita aos Senhores Vereadores Cássia Guarneire Soares Daneze e William da Silva Domingos que acompanhem o Senhor Inácio de Almeida Luz, <<suplente de Vereador>> pelo PSDB, à dirigir-se à Mesa Diretor"
"antes_regra_apertada","30_alta",29,"M2008_37419_11_45_32292","2011-11-21","alta","renuncia","PAULO ALEXANDRE MATOS GRIFFO",0,"renuncia_de_receita","§ 2º, inciso V) R$ MIL TOTAL - - - Nota Explicativa: O Município não prevê <<renúncia>> de receita. COMPENSAÇÃO 2012 PREFEITURA MUNICIPAL DE MUCURI LEI DE DIRETRIZES ORÇAMENTÁRIAS ANEXO DE METAS FISCAIS ESTIMATIVA E COMPENSAÇÃO DA <<RENÚNCIA>> DE RECEITA Paulo Alexandre Matos Griffo Prefeito <<RENÚN"
"antes_regra_apertada","30_alta",30,"M2024_81795_11_30_240001904814","2026-04-06","alta","renuncia","ADRIANO BORNSCHEIN SILVA",1,"","LEGISLATIVO Nº 132/2026. Dispõe sobre a extinção do mandato e a declaração de vacância do cargo de Prefeito Municipal de Joinville, decorrente de <<renúncia>> escrita, e dá outras providências. O Presidente da Câmara de Vereadores de Joinville, Estado de Santa Catarina, no uso de suas atribuições le"
