"idx","julgamento","nota","julgamento_automatico","justificativa","estrato","uf","sg_ue","ano_eleicao","nome_fonte","papel","causa","tipo_evento","data_evento","data_retorno","titular_nome","id_mandato_titular","confianca","url","observacao"
"20","","","certo","suplente assumiu em 14/02/2000 pela renuncia de Beatriz Franco; titular nao capturado","com_data_fim_de_mandato","GO","92851","1996","JUCELINO NUNES DA SILVA","suplente_assumiu","renuncia","fim_de_mandato","2000-02-14",NA,NA,NA,"media","https://sapl.cacu.go.leg.br/api/parlamentares/mandato/86/","ASSUMIU O MANDATO DEVIDO A RENÚNCIA DA VEREADORA BEATRIZ FRANCO, EM 14/02/2000."
"21","","","errado","a renuncia e do 1o suplente Davi Dias Reis; o titular saiu em 05/01/2026 para secretaria com retorno requerido em 01/08/2026: interregno por cargo executivo","com_data_fim_de_mandato","TO","73385","2024","Valmir Pereira Cardoso","titular_saiu","renuncia","fim_de_mandato","2026-01-05",NA,NA,NA,"media","https://sapl.lagoadaconfusao.to.leg.br/api/parlamentares/mandato/110/","“Saiu em 05/01/2026, conforme Requerimento nº 01/2026, para assumir cargo no governo municipal, de Secretário Municipal de Articulação Política, sendo substituído pela parlamentar NÚBIA MARIA SOARES DE SOUZA, em razão da renúncia formal do 1° suplente Davi Dias Reis.” 

OFÍCIO N° 001/2026 requerimento formal do Vereador pra retornar suas atividades a partir de 01/08/2026."
"22","","","certo","renuncia por oficio a partir de 01/07/2023","com_data_fim_de_mandato","SP","65030","2020","Luan Soares da Silva","titular_saiu","renuncia","fim_de_mandato","2023-07-01",NA,NA,NA,"media","https://sapl.igarapava.sp.leg.br/api/parlamentares/mandato/8/","Renúncia solicitada por ofício a partir de 01/07/2023"
"23","","","certo","faleceu em 14/11/2006","com_data_fim_de_mandato","ES","56111","2004","Lucas Baioco","titular_saiu","falecimento","fim_de_mandato","2006-11-14",NA,NA,NA,"media","https://sapl.aracruz.es.leg.br/api/parlamentares/mandato/59/","Faleceu em 14/11/2006."
"24","","","errado","registro e do suplente que tomou posse (12/08/2021 por licenca de Guilherme Sampaio); papel titular_saiu e fim_de_mandato por renuncia vem da 3a posse (Larissa Gaspar, 01/02/2023)","com_data_fim_de_mandato","CE","13897","2020","Vicente de Paulo Pinto da Costa","titular_saiu","renuncia","fim_de_mandato","2021-08-12",NA,NA,NA,"media","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/520/","Vereador tomou posse no dia 12 de Agosto de 2021 em virtude da licença para assumir o cargo de Deputado Estadual do Ceará, na condição de suplente, do Vereador Guilherme Sampaio, por meio de Requerimento nº 5.295/2021.

Vereador tomou posse no dia 7 de Dezembro de 2021, em virtude da licença por interesse particular do Vereador Ronivaldo Maia, por meio do Requerimento nº 7.792/2021.

Vereador tomou posse no dia 1º de Fevereiro de 2023 em virtude da renúncia da Vereadora Larissa Gaspar, por meio do protocolo nº 131/2023."
"25","","","parcial","renuncia sustentada, mas em 30/06/2008; data_evento 19/05/2005 e o inicio da licenca para secretaria","com_data_fim_de_mandato","PR","76830","2004","Valdir Sachser","titular_saiu","renuncia","fim_de_mandato","2005-05-19",NA,NA,NA,"media","https://sapl.marechalcandidorondon.pr.leg.br/api/parlamentares/mandato/71/","Solicitou licença no período entre (19/05/2005 - 04/12/2006), para exercer o cargo de Secretário Municipal de Governo, assumindo em seu lugar a suplente: Eliete Aparecida Pedro Wasem.
Renunciou ao mandato de Vereador em (30/06/2008), para disputar a eleição como Vice-Prefeito."
"26","","","parcial","renuncia sustentada, mas em 20/07/2020; data_evento 22/06/2018 e o inicio de uma licenca de saude","com_data_fim_de_mandato","RS","85014","2016","Rui Valdir Milbradt","titular_saiu","renuncia","fim_de_mandato","2018-06-22",NA,NA,NA,"media","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/189/","Licenciou-se para tratamento de saúde de 22/06/2018 até 21/08/2018 e para tratar de interesse particular de 31/08/2019 a 29/09/2019, de 18/05/2020 a 30/06/2020 e de 14/07/2020 a 31/08/2020, renunciou a mandato em 20/07/2020."
"27","","","parcial","suplente empossado por licenca de Talles Barreiros; a data 08/09/2015 no texto refere-se a desfiliacao do 2o suplente, a posse nao e datada","com_data_afastamento_sem_retorno_observado","RJ","58572","2012","José Hermínio Filho","suplente_assumiu","licenca_sem_causa","afastamento_sem_retorno_observado","2015-09-08",NA,NA,NA,"media","https://sapl.miguelpereira.rj.leg.br/api/parlamentares/mandato/181/","Empossado pela licença do vereador sr. Talles Tavares Barreiros, tendo em vista que o 1° suplente não teve interesse e o 2° suplente desfiliou-se do partido em 08 de setembro de 2015."
"28","","","errado","o texto declara a extincao do mandato (suspensao, art. 15 III CF): fim de mandato, nao afastamento sem retorno; data 17/08/2023 certa","com_data_afastamento_sem_retorno_observado","MS","91235","2020","JOÃO LUIZ SALTOR DAN","titular_saiu","afastamento_sem_causa","afastamento_sem_retorno_observado","2023-08-17",NA,NA,NA,"media","https://sapl.novaandradina.ms.leg.br/api/parlamentares/mandato/23/","Afastado a partir de 17/08/2023, em virtude da Suspensão do mandato
Ato 04 de 31 de julho de 2023, no qual nos moldes do disposto no art. 15, III, da CF/88, no art. 8º, I, e §§1º e 2º, do Decreto Lei n. 201/67, art. 41, VI, §3º, da LOM e art. 249, I, do Regimento Interno da Câmara de Vereadores de Nova Andradina, fica declarada a extinção do mandato eletivo (2021-2024) do Vereador JOÃO LUIZ SALTOR DAN."
"29","","","parcial","licenca da titular Valdete Savaris 'por motivo de doenca' e licenca de saude, lida como sem causa; posse do suplente 12/09/2018 certa; titular nao capturada","com_data_afastamento_sem_retorno_observado","RO","00132","2016","Israel Maciel de Souza","suplente_assumiu","licenca_sem_causa","afastamento_sem_retorno_observado","2018-09-12",NA,NA,NA,"media","https://sapl.vilhena.ro.leg.br/api/parlamentares/mandato/22/","A vereadora Valdete Savaris pediu licença por 90 dias, por motivo de doença. Com isso, o suplente Israel assumiu a função em 12 de setembro de 2018, conforme Termo de Posse nº 76."
"30","","","parcial","suplente assumiu 07/08/2023 a 31/08/2023 durante licenca de Nice Soares; a saida 31/08/2023 esta no texto e o tipo deveria ser interregno temporario","com_data_afastamento_sem_retorno_observado","RS","85014","2020","João de Deus","suplente_assumiu","licenca_sem_causa","afastamento_sem_retorno_observado","2023-08-07",NA,NA,NA,"media","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/218/","Assumiu mandato de 07/08/2023 a 31/08/2023 durante licença da Verª Nice Soares."
"31","","","certo","suplente tomou posse em 06/11/2025 por licenca de interesse particular de Wellington Saboia; titular nao capturado","com_data_afastamento_sem_retorno_observado","CE","13897","2024","Brena Dayane da Costa Abreu","suplente_assumiu","licenca_particular","afastamento_sem_retorno_observado","2025-11-06",NA,NA,NA,"media","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/610/","Vereadora tomou posse no dia 6 de novembro de 2025, em virtude da licença por interesse particular do Vereador Wellington Sabóia, por meio do Requerimento nº 8669/2025.

Vereadora tomou posse no dia 22 de dezembro de 2025, em virtude da licença para investidura no cargo de Presidente do PROCON do Vereador Wellington Sabóia, por meio do ofício nº 87/2025 (Protocolo Cmfor360 nº 575/2025)."
"32","","","certo","suplente assumiu substituindo Marcio Pavoni em 29/11/2019; a 1a substituicao (11/01/2018) tem data malformada no texto","confianca_baixa","RS","86371","2016","ANGÉLICA BRIGIDA BURY","suplente_assumiu",NA,NA,"2019-11-29",NA,"MARCIO PAVONI",NA,"baixa","https://sapl.erechim.rs.leg.br/api/parlamentares/mandato/525/","Suplente de Vereador tendo assumido o Cargo de Vereadora na Sessão Plenária Extraordinária de 11/012018, substituindo o Vereador Márcio Pavoni, e na Sessão Solene de 29/11/2019, substituindo o Vereador Márcio Pavoni."
"33","","","certo","vereadora cassada, sem data no texto","confianca_baixa","MS","91413","2012","Lucineide Marques Nossa","titular_saiu","cassacao","fim_de_mandato",NA,NA,NA,NA,"baixa","https://sapl.ribasdoriopardo.ms.leg.br/api/parlamentares/mandato/153/","Vereadora cassada, assumindo o cargo o Vereador Douglas da Silva"
"34","","","parcial","suspensao cautelar das funcoes e afastamento judicial, lido como afastamento sem causa (mesma forma); sem data","confianca_baixa","PA","04707","2020","Zilmar Costa Aguiar Junior","titular_saiu","afastamento_sem_causa","interregno_temporario",NA,NA,NA,NA,"baixa","https://sapl.canaadoscarajas.pa.leg.br/api/parlamentares/mandato/73/","Vereador esta afastado do mandato em virtude da Suspensão Cautelar das funções públicas com o consequente afastamento do cargo publico de Vereador."
"35","","","errado","sem evento: 'segundo secretario da Mesa Diretora' lido como licenca para cargo executivo","confianca_baixa","MT","98310","1996","Francisco de Assis Pedroso ","titular_saiu","licenca_cargo_executivo","interregno_temporario",NA,NA,NA,NA,"baixa","https://sapl.juina.mt.leg.br/api/parlamentares/mandato/82/","segundo secretário da Mesa Diretora 1997/1998"
"36","","","parcial","data 03/04/2023 certa; texto diz posse como suplente e a regra nao leu papel nem causa","confianca_baixa","PR","76473","2020","MAURÍLIO MARTIELHO",NA,NA,NA,"2023-04-03",NA,NA,NA,"baixa","https://sapl.jataizinho.pr.leg.br/api/parlamentares/mandato/62/","tomo posse como suplente em 03/04/2023 na 9a. Sessão Ordinária."
"37","","","parcial","data 04/02/2013 e titular Joel Sevarolli certos; papel suplente_assumiu nao lido ('substituindo Joel' sem artigo); saida em 01/04/2016 no texto","confianca_baixa","MG","49891","2012","Synval Rodrigues da Costa",NA,NA,NA,"2013-02-04",NA,"JOEL ORLANDO SEVAROLLI","M2012_49891_13_11601_130000001128","baixa","https://sapl.pequeri.mg.leg.br/api/parlamentares/mandato/92/","No dia 04/02/2013, ficou empossado o cargo de Vereador, substituindo Joel Orlando Sevarolli, por tempo indeterminado.

No dia 01/04/2016, teve sua saída, ficando empossado Joel Orlando Sevarolli, até o final do mandato."
"38","","","parcial","data 02/05/2023 certa; titular assumiu diretoria no Executivo (licenca para cargo executivo) e a regra nao leu papel nem causa","confianca_baixa","PR","74721","2020","AUGUSTO DE SOUZA CAMPOS",NA,NA,NA,"2023-05-02",NA,NA,NA,"baixa","https://sapl.ranchoalegredoeste.pr.leg.br/api/parlamentares/mandato/5/","O vereador assumiu o cargo de Diretor do Departamento de Cultura do município de Rancho Alegre D’Oeste, Estado do Paraná, na data de 02/05/2023 abrindo vaga para o suplente ANDERSON LUIZ BORGO, em virtude da declaração de impossibilidade do suplente ANDERSON LUIZ BORGO em assumir o cargo de vereador, tendo em vista já ocupar cargo de chefia no Poder Executivo Municipal, fica convocado o Sr. GASPAR SOARES DE MELO para assumir a vaga."
"39","","","certo","licenca por motivo de saude (maternidade); sem data no texto","confianca_baixa","CE","13552","2020","Priscila Rena Holanda Magalhaes","titular_saiu","licenca_saude","interregno_temporario",NA,NA,NA,NA,"baixa","https://sapl.caninde.ce.leg.br/api/parlamentares/mandato/38/","A Vereadora se licenciou por motivo de saúde (maternidade) e aí m seu lugar assumiu o Vereador Professor Junior Mello"
"40","","","parcial","data 13/01/2020 certa; vereador na chefia do Executivo de 13 a 31/01/2020 (interregno por cargo executivo) sem papel nem causa lidos","confianca_baixa","RS","85014","2016","Itamar José Puntel",NA,NA,NA,"2020-01-13",NA,NA,NA,"baixa","https://sapl.agudo.rs.leg.br/api/parlamentares/mandato/186/","Está na chefia do Poder Executivo entre 13/01/2020 e 31/01/2020."
"41","","","certo","suplente empossado para o periodo de licenca de Gastao Pinto Pires Filho; sem data; titular nao capturado","confianca_baixa","RJ","58572","2004","Raul Araujo","suplente_assumiu","licenca_sem_causa","interregno_temporario",NA,NA,NA,NA,"baixa","https://sapl.miguelpereira.rj.leg.br/api/parlamentares/mandato/176/","Empossado para o período de licença do Vereador Gastão Pinto Pires Filho."
"42","","","certo","texto sem evento (eleito para a legislatura 2025-2028)","nao_classificada","PI","10669","2024","Jorge Luis da Silva",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.boahora.pi.leg.br/api/parlamentares/mandato/6/","Vereador eleito nas Eleições Municipais de 2024 para a Legislatura 2025–2028."
"43","","","certo","texto sem evento (rotulo '2o Suplente')","nao_classificada","MT","98850","2020","ADVENTINO LOPES GONÇALVES",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.portoalegredonorte.mt.leg.br/api/parlamentares/mandato/33/","2º Suplente"
"44","","","parcial","substituicao de Sebastiao Luiz Alves narrada sem data nem causa; por desenho a regra nao gera evento sem causa ou data","nao_classificada","PR","74063","2020","NARA REGINA ALVES FUSCO",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.ouroverdedooeste.pr.leg.br/api/parlamentares/mandato/41/","(Substituindo SEBASTIÃO LUIZ ALVES)"
"45","","","parcial","retorno do titular Julio Cesar Moraes Gontijo narrado sem data nem causa","nao_classificada","MG","42854","2008","Inimá de Deus Vieira",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.carmodoparanaiba.mg.leg.br/api/parlamentares/mandato/15/","Retorno do titular do cargo: Vereador Julio Cesar Moraes Gontijo"
"46","","","certo","texto sem evento (partido)","nao_classificada","AM","02275","2008","AMARILDO PAIVA DE SOUZA",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.codajas.am.leg.br/api/parlamentares/mandato/28/","Pelo partido PSB"
"47","","","certo","texto sem evento (perfil: profissao, partido, votos)","nao_classificada","PE","24333","2020","Gilvan Marinho Pontes",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.ibirajuba.pe.leg.br/api/parlamentares/mandato/5/","Fisioterapeuta e Terapeuta Ocupacional
   Republicanos 
   Votos 246   -   Mandato 2021 - 2024 
   Superior completo"
"48","","","errado","falso negativo: assumiu no lugar de Eliane Novais, eleita deputada estadual; a causa (posse em outro cargo) esta fora do vocabulario da regra e a titular esta nomeada","nao_classificada","CE","13897","2008","Francisco Antônio Martins Nogueira",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.fortaleza.ce.leg.br/api/parlamentares/mandato/32/","O Vereador assumiu ao mandato no lugar da Vereadora Eliane Novais que foi eleita Deputada Estadual."
"49","","","parcial","suplencia de Pedro Alessandro Alves Nascimento narrada sem data nem causa","nao_classificada","MT","91081","2008","Lourival Lacerda de Lima",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.ipirangadonorte.mt.leg.br/api/parlamentares/mandato/47/","Lourival Lacerda de Lima atuou como legislador suplente de Pedro Alessandro Alves Nascimento."
"50","","","parcial","assumiu a vaga de Francisco Pereira Lima sem data nem causa","nao_classificada","PA","05770","2000","Arilton Silva Souza",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.medicilandia.pa.leg.br/api/parlamentares/mandato/71/","Suplente. Assumiu a vaga do Senhor Francisco Pereira Lima."
"51","","","certo","texto sem evento (Presidente da Mesa Diretora 2000/2001)","nao_classificada","MT","98310","2000","Dorildes Fortunato Armeliato",NA,NA,NA,NA,NA,NA,NA,"nula","https://sapl.juina.mt.leg.br/api/parlamentares/mandato/105/","Presidente da Mesa Diretora 2000/2001"
