tabela,uf,fonte,sg_ue,nome_municipio_fonte,unidade_gestora,cargo_bocel,nome_fonte,nome_bocel,nome_urna_bocel,exercicio,ano_eleicao,data_inicio,data_fim,forma_saida,metodo_pareamento,jac_max,id_mandato_bocel,id_pessoa_bocel,m_cd,m_ue,m_ano,m_ini,m_fim,url
"A","BA","tcmba_quadro_geral_prestacao_contas","33677","BELMONTE","Câmara de BELMONTE","VEREADOR","ALICE MARIA MAGNAVITA ELIAS","ALICE MARIA MAGNAVITA ELIAS DE BRITTO","ALICE","2010","2008",NA,NA,"nao_observado","tokens_nome_fonte_no_nome_civil",0.8,"M2008_33677_13_11456_22095","BOCEL0114936","13","33677","2008","2009-01-01","2012-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2010&ent=C&muni=00456&des="
"A","MS","tcems_contas_julgadas_irregulares","91472","RIO VERDE DE MATO GROSSO","PREFEITURA MUNICIPAL DE RIO VERDE DE MATO GROSSO","PREFEITO","WILIAN DOUGLAS DE SOUZA BRITO","WILIAM DOUGLAS DE SOUZA BRITO","DR. WILIAM",NA,"2008",NA,NA,"nao_observado","cpf_municipio_cargo",0.6,"M2008_91472_11_23_3347","BOCEL0039680","11","91472","2008","2009-01-01","2012-12-31","https://portal-services.tce.ms.gov.br/portal-services/contasJulgadas/getContasJulgadasIrregulares.json"
"A","MS","tcems_contas_julgadas_irregulares","91847","PARANHOS","PREFEITURA MUNICIPAL DE PARANHOS","PREFEITO","JULIO CESAR DE SOUZA","JULIO CESAR DE SOUZA","JULIO",NA,"2012",NA,NA,"nao_observado","cpf_municipio_cargo",1,"M2012_91847_11_12_120000000649","BOCEL0064210","11","91847","2012","2013-01-01","2016-12-31","https://portal-services.tce.ms.gov.br/portal-services/contasJulgadas/getContasJulgadasIrregulares.json"
"A","MS","tcems_contas_julgadas_irregulares","55000","NOVA ALVORADA DO SUL","PREFEITURA MUNICIPAL DE NOVA ALVORADA DO SUL","PREFEITO","JUVENAL DE ASSUNÇÃO NETO","JUVENAL DE ASSUNÇÃO NETO","NETO",NA,"2012",NA,NA,"nao_observado","cpf_municipio_cargo",1,"M2012_55000_11_45_120000004728","BOCEL0053907","11","55000","2012","2013-01-01","2016-12-31","https://portal-services.tce.ms.gov.br/portal-services/contasJulgadas/getContasJulgadasIrregulares.json"
"A","RS","ckan_tcers_contas_irregulares","89478","TUPANCIRETÃ","PM DE TUPANCIRETÃ","PREFEITO","Luiz Adolfo Bittencourt Dias","LUIS ADOLFO BITENCOURT DIAS","LUIS ADOLFO","2012","2008",NA,NA,"nao_observado","cpf_municipio_cargo_eleicao",0.333,"M2008_89478_11_15_18423","BOCEL0122165","11","89478","2008","2009-01-01","2012-12-31","https://dados.tce.rs.gov.br/dados/decisoes/contas-irregulares.csv"
"A","RS","ckan_tcers_contas_irregulares","88285","ESPERANÇA DO SUL","CM DE ESPERANÇA DO SUL","VEREADOR","Ataides Werner Lizi","ATAIDES WERNER LISI","ATAIDES WERNER LISI, IDE","2007","2004",NA,NA,"nao_observado","cpf_municipio_cargo_eleicao",0.5,"M2004_88285_13_14612_130","BOCEL0134188","13","88285","2004","2005-01-01","2008-12-31","https://dados.tce.rs.gov.br/dados/decisoes/contas-irregulares.csv"
"B","PI","tcepi_responsaveis_contas_irregulares","10073","ALTOS","ALTOS PREFEITURA","PREFEITO","PATRICIA MARA DA SILVA LEAL PINHEIRO","PATRICIA MARA DA SILVA LEAL PINHEIRO","PATRICIA LEAL","2020","2016",NA,NA,"nao_observado","cpf_municipio_cargo_eleicao",1,"M2016_10073_11_13_180000007273","BOCEL0083173","11","10073","2016","2017-01-01","2020-12-31","https://www.tcepi.tc.br/wp-content/uploads/2026/08/RESPONSAVEIS-COM-CONTAS-JULGADAS-IRREGULARES-OU-COM-PARECER-PREVIO-PELA-REPROVACAO-1.pdf"
"A","RS","ckan_tcers_contas_irregulares","86932","CHARQUEADAS","CM DE CHARQUEADAS","VEREADOR","José Francisco Silva da Silva","JOSE FRANCISCO SILVA DA SILVA","CHIQUINHO","2016","2012",NA,NA,"nao_observado","cpf_municipio_cargo_eleicao",1,"M2012_86932_13_14607_210000024695","BOCEL0113560","13","86932","2012","2013-01-01","2016-12-31","https://dados.tce.rs.gov.br/dados/decisoes/contas-irregulares.csv"
"A","BA","tcmba_quadro_geral_prestacao_contas","37915","PINDAI","Prefeitura de PINDAÍ","PREFEITO","ROSANE MADALENA LADEIA PEREIRA PRADO","ROSANE MADALENA LADEIA PEREIRA PRADO","ROSANE","2013","2012",NA,NA,"nao_observado","nome_completo_eleicao",1,"M2012_37915_11_45_50000047876","BOCEL0000036","11","37915","2012","2013-01-01","2016-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2013&ent=P&muni=00298&des="
"B","PE","tcepe_dados_abertos_lista_servidores","26298","CAMARAGIBE","Câmara Municipal de Camaragibe","VEREADOR","MANOEL RODRIGUES DA SILVA","MANOEL RODRIGUES DA SILVA","MANOEL RODRIGUES","2026","2016","2017-01-01","2024-12-31","fim_regular","nome_completo_eleicao",1,"M2016_26298_13_11633_170000021656","BOCEL0003521","13","26298","2016","2017-01-01","2020-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=VEREADOR"
"A","BA","tcmba_quadro_geral_prestacao_contas","36439","ITORORO","Prefeitura de ITORORÓ","PREFEITO","ADAUTO OLIVEIRA DE ALMEIDA","ADAUTO OLIVEIRA DE ALMEIDA","DR ADAUTO","2019","2016",NA,NA,"nao_observado","nome_completo_eleicao",1,"M2016_36439_11_45_50000019969","BOCEL0086114","11","36439","2016","2017-01-01","2020-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2019&ent=P&muni=00201&des="
"B","PE","tcepe_dados_abertos_lista_servidores","26158","TUPANATINGA","Prefeitura Municipal de Tupanatinga","PREFEITO","JOSE RONALDO DA SILVA","JOSÉ RONALDO DA SILVA","PROFESSOR RONALDO","2026","2024","2025-01-01",NA,"nao_observado","nome_completo_eleicao",1,"M2024_26158_11_11_170002261603","BOCEL0203004","11","26158","2024","2025-01-01","2028-12-31","https://sistemas.tce.pe.gov.br/DadosAbertos/ListaServidores!json?NomeCargo=PREFEITO"
"A","SP","tcesp_responsaveis_prestacao_contas_repasses","67997","PACAEMBU","PREFEITURA MUNICIPAL DE PACAEMBU","PREFEITO","CHIDETO TODA","CHIDETO TODA","PAULO TODA","2010","2008",NA,NA,"nao_observado","nome_completo_eleicao",1,"M2008_67997_11_14_34723","BOCEL0177557","11","67997","2008","2009-01-01","2012-12-31","https://www.tce.sp.gov.br/relacao-de-responsaveis-por-contas-julgadas-irregulares"
"B","PB","tcepb_sagres_folha_cargos_eletivos","19283","Sossêgo","Câmara Municipal de Sossêgo","VEREADOR","FLAVIANA LUCENA DE ARAUJO","FLAVIANA LUCENA DE ARAÚJO","FLAVIANA  LUCENA",NA,"2024","2025-01-01","2026-07-31","nao_observado","nome_completo_eleicao",1,"M2024_19283_13_15111_150002104613","BOCEL0153519","13","19283","2024","2025-01-01","2028-12-31","https://download.tce.pb.gov.br/dados-abertos/dados-consolidados/servidores/servidores-2025.zip"
"A","BA","tcmba_quadro_geral_prestacao_contas","33634","BARREIRAS","Câmara de BARREIRAS","VEREADOR","CARLOS TITO MARQUES CORDEIRO","CARLOS TITO MARQUES CORDEIRO","TITO","2014","2012",NA,NA,"nao_observado","nome_completo_eleicao",1,"M2012_33634_13_12345_50000007064","BOCEL0216953","13","33634","2012","2013-01-01","2016-12-31","https://www.tcm.ba.gov.br/index.php/consulta/legislacao/decisoes/contas-anuais/detalhe-conta-anual/?ano=2014&ent=C&muni=00454&des="
