"id_mandato","cargo","sg_uf","ano_eleicao","nome_tse","forma_saida","data_evento","precisao_data","assumiu","fonte_1","trecho_1","fonte_2","trecho_2","confianca","observacao"
"M2010_AM_3_33_40000000289","GOVERNADOR","AM","2010","OMAR JOSÉ ABDEL AZIZ","renuncia","2014-04-04","ato","José Melo de Oliveira (vice-governador)","https://web.archive.org/web/20140404025122/http://www.amazonas.am.gov.br/2014/03/omar-aziz-declara-que-deixara-governo-no-proximo-dia-4-de-abril/","O governador Omar Aziz declarou na manhã desta terça-feira, dia 25 de março, que renunciará no dia 4 de abril próximo para se candidatar à vaga de senador pelo Amazonas nas próximas Eleições de outubro.","http://g1.globo.com/am/amazonas/noticia/2014/04/jose-melo-assume-o-governo-do-amazonas-nesta-sexta-feira-04.html","O vice-governador do Amazonas, José Melo (PROS), assume o governo do estado nesta sexta-feira (04). A cerimônia de posse será realizada no Teatro Amazonas. Omar Aziz (PSD) deixará o governo para tentar vaga no Senado.","alta","Renúncia para disputar o Senado. A fonte oficial (portal do Governo do Amazonas, 25/03/2014, lida no Internet Archive) anuncia a data de 4 de abril, e o G1 de 04/04/2014 confirma a transmissão no mesmo dia, com posse às 19h30 no Teatro Amazonas. O verbete do CPDOC/FGV sobre José Melo diz apenas 'No mês de abril de 2014'. O Blog do Hiel Levy (09/05/2017, opinativo) menciona 'primeiro de abril de 2014', data que nenhuma outra fonte sustenta."
"M2014_AM_3_90_40000000487","GOVERNADOR","AM","2014","JOSÉ MELO DE OLIVEIRA","cassacao","2017-05-04","ato","David Almeida (presidente da Assembleia Legislativa, interino, posse em 2017-05-09)","http://web.archive.org/web/20210523121927/http://www.tse.jus.br/imprensa/noticias-tse/2017/Maio/tse-cassa-governador-do-amazonas-e-determina-nova-eleicao-para-o-cargo","O Tribunal Superior Eleitoral (TSE) confirmou, na sessão desta quinta-feira (4), a cassação do mandato do governador reeleito do Amazonas, José Melo (PROS), e de seu vice, José Henrique de Oliveira, por compra de votos nas eleições de 2014.","https://agenciabrasil.ebc.com.br/politica/noticia/2017-05/presidente-da-assembleia-legislativa-do-amazonas-assume-governo-do-am","O termo de posse foi assinado na manhã de hoje (9), por volta das 10h30 [...] um oficial de Justiça [...] notificou o deputado estadual da decisão do Tribunal Superior Eleitoral (TSE) que cassou o mandato do governador José Melo, no dia 4","alta","Cassação por compra de votos (captação ilícita de sufrágio) julgada pelo TSE em 04/05/2017 (5 a 2). O TRE-AM já havia cassado o mandato em 26/01/2016, mas Melo permaneceu no cargo enquanto recorria. A saída efetiva ocorreu em 09/05/2017, quando David Almeida tomou posse interinamente após notificação do TRE-AM (a ministra Rosa Weber mandou cumprir o julgamento na noite de 08/05, antes da publicação do acórdão). fim_wp (2017-05-09) corresponde à posse do interino. Página do TSE no ar retorna HTTP 403 e foi lida na cópia do Internet Archive. Agência Brasil de 04/05/2017 (tse-confirma-cassacao-do-governador-do-amazonas-e-decide-por-novas-eleicoes) também confirma. Segundo a lista da Wikipédia (não verificado), o mandato foi depois ocupado por Amazonino Mendes, eleito em eleição suplementar."
"M2022_AM_3_44_40001619528","GOVERNADOR","AM","2022","WILSON MIRANDA LIMA","renuncia","2026-04-04","ato","Roberto Cidade (presidente da Assembleia Legislativa, interino, eleito governador em eleição indireta em 2026-05-04)","https://g1.globo.com/am/amazonas/eleicoes/2026/noticia/2026/05/04/roberto-cidade-e-eleito-governador-do-amazonas-em-eleicao-indireta.ghtml","Wilson Lima e Tadeu de Souza renunciaram aos cargos de governador e vice do Amazonas. As cartas foram publicadas em edição extra do Diário Oficial da Aleam neste sábado (4). [...] As renúncias têm efeito imediato desde 4 de abril de 2026.","https://www.acritica.com/politica/wilson-e-tadeu-renunciam-e-roberto-cidade-e-o-novo-governador-do-am-1.400449","Ele assume o cargo interinamente após a renuncia do então governador Wilson Lima e de seu vice, Tadeu de Souza. As cartas de renúncia de ambos foram apresentadas às 23h de ontem, em carta escrita à mão, ao presidente da Assembleia.","alta","Renúncia para disputar o Senado, no último dia do prazo de desincompatibilização. A Crítica publicou em 05/04/2026 às 03h05, logo 'às 23h de ontem' corresponde a 04/04/2026, e a BNC Amazonas descreve as renúncias 'já próximo da meia-noite'. Houve dupla vacância (governador e vice) nos dois últimos anos do mandato, e por isso o presidente da Aleam, Roberto Cidade, assumiu interinamente e foi eleito pela Aleam em 04/05/2026, com Serafim Corrêa como vice, para completar o mandato. O Diário Oficial da Aleam (edição extra de 04/04/2026) é citado pelas fontes, mas não foi localizado nem lido."
"M2006_AM_4_15_10594","VICE-GOVERNADOR","AM","2006","OMAR JOSÉ ABDEL AZIZ","assumiu_titular","2010-03-31","ato","","https://web.archive.org/web/20160602233427/http://www.amazonas.am.gov.br/2010/12/posse-de-omar-aziz-e-jos-melo-hoje-no-teatro-amazonas","O engenheiro civil Omar José Abdel Aziz assumiu o Governo do Amazonas no dia 31 de março de 2010, em substituição ao então governador Eduardo Braga, que renunciou para concorrer a uma vaga no Senado Federal.","https://www.cmm.am.gov.br/memorial/omar-jose-abdel-aziz/","No dia 31 de março de 2010, com a renúncia do Governador do Estado do Amazonas, Omar Aziz assumiu o Governo.","alta","A forma atual do banco (renuncia, via Wikidata) está incorreta. Omar Aziz sucedeu em definitivo o titular Eduardo Braga, que renunciou para disputar o Senado, e deixou a vice-governadoria por essa sucessão. Rádio Itatiaia registra a mesma data ('Em 31 de março de 2010, quando Braga renunciou ao cargo para disputar o Senado Federal, Aziz assumiu o Palácio Rio Negro'). Fonte 1 lida na cópia do Internet Archive (página original fora do ar). Nenhuma fonte lida informa ocupante do cargo de vice depois dessa data. sucessor_wp (José Melo, 2011-01-01) é o vice eleito em 2010."
"M2010_AM_4_33_40000000290","VICE-GOVERNADOR","AM","2010","JOSÉ MELO DE OLIVEIRA","assumiu_titular","2014-04-04","ato","","https://web.archive.org/web/20140404025122/http://www.amazonas.am.gov.br/2014/03/omar-aziz-declara-que-deixara-governo-no-proximo-dia-4-de-abril/","“Saio dia 4 e passo a faixa ao meu vice-governador José Melo.","http://g1.globo.com/am/amazonas/noticia/2014/04/jose-melo-assume-o-governo-do-amazonas-nesta-sexta-feira-04.html","O vice-governador do Amazonas, José Melo (PROS), assume o governo do estado nesta sexta-feira (04). A cerimônia de posse será realizada no Teatro Amazonas.","alta","Assumiu o governo em definitivo após a renúncia de Omar Aziz para disputar o Senado. A fonte oficial (portal do Governo do Amazonas, 25/03/2014, lida no Internet Archive) anuncia a transmissão para 4 de abril, e o G1 de 04/04/2014 a confirma para o mesmo dia, com posse às 19h30. O verbete do CPDOC/FGV registra 'No mês de abril de 2014, acabou sendo empossado governador do Amazonas'. Nenhuma fonte lida informa ocupante do cargo de vice depois dessa data."
"M2014_AM_4_90_40000000488","VICE-GOVERNADOR","AM","2014","JOSÉ HENRIQUE OLIVEIRA","cassacao","2017-05-04","ato","","http://web.archive.org/web/20210523121927/http://www.tse.jus.br/imprensa/noticias-tse/2017/Maio/tse-cassa-governador-do-amazonas-e-determina-nova-eleicao-para-o-cargo","O Tribunal Superior Eleitoral (TSE) confirmou, na sessão desta quinta-feira (4), a cassação do mandato do governador reeleito do Amazonas, José Melo (PROS), e de seu vice, José Henrique de Oliveira, por compra de votos nas eleições de 2014.","https://agenciabrasil.ebc.com.br/politica/noticia/2017-05/tse-confirma-cassacao-do-governador-do-amazonas-e-decide-por-novas-eleicoes","Por 5 votos a 2, o Tribunal Superior Eleitoral (TSE) confirmou hoje (4) a cassação do mandato do governador do Amazonas, José Melo (Pros). [...] O vice-governador, Henrique de Oliveira (SD), também foi cassado.","alta","Cassado junto com o titular pelo TSE em 04/05/2017. O TRE-AM já havia cassado os dois em 26/01/2016, e ambos permaneceram nos cargos durante o recurso. A execução se deu com a posse do presidente da Aleam, David Almeida, como governador interino em 09/05/2017 (Agência Brasil, 09/05/2017). Página do TSE no ar retorna HTTP 403 e foi lida na cópia do Internet Archive. Segundo a lista da Wikipédia (não verificado), o vice seguinte foi Bosco Saraiva, eleito na eleição suplementar de 2017."
"M2022_AM_4_44_40001619527","VICE-GOVERNADOR","AM","2022","TADEU DE SOUZA SILVA","renuncia","2026-04-04","ato","Serafim Corrêa (eleito vice-governador em eleição indireta na Aleam em 2026-05-04)","https://g1.globo.com/am/amazonas/eleicoes/2026/noticia/2026/05/04/roberto-cidade-e-eleito-governador-do-amazonas-em-eleicao-indireta.ghtml","Wilson Lima e Tadeu de Souza renunciaram aos cargos de governador e vice do Amazonas. As cartas foram publicadas em edição extra do Diário Oficial da Aleam neste sábado (4). [...] As renúncias têm efeito imediato desde 4 de abril de 2026.","https://www.acritica.com/politica/wilson-e-tadeu-renunciam-e-roberto-cidade-e-o-novo-governador-do-am-1.400449","Ele assume o cargo interinamente após a renuncia do então governador Wilson Lima e de seu vice, Tadeu de Souza. As cartas de renúncia de ambos foram apresentadas às 23h de ontem, em carta escrita à mão, ao presidente da Assembleia.","alta","Renúncia simultânea à do governador Wilson Lima, no fim do prazo de desincompatibilização. Segundo a BNC Amazonas, Tadeu deixou o cargo 'para concorrer a deputado federal'. A Crítica publicou em 05/04/2026 às 03h05 ('às 23h de ontem' = 04/04/2026). O cargo de vice ficou vago até a eleição indireta de 04/05/2026, em que a Aleam elegeu a chapa Roberto Cidade e Serafim Corrêa (G1). sucessor_ini da lista (2026-05-04) coincide com a data da eleição indireta, e a data de posse de Serafim Corrêa não foi confirmada."
"M1998_AP_3_40_300000303000401","GOVERNADOR","AP","1998","JOAO ALBERTO RODRIGUES CAPIBERIBE","renuncia","2002-04-05","ato","Dalva Figueiredo (vice-governadora)","https://www1.folha.uol.com.br/fsp/brasil/fc0904200219.htm","O ex-governador do Amapá João Capiberibe (PSB) disse ontem [...] disse Capiberibe, que renunciou na sexta-feira para concorrer ao Senado.","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/joao-alberto-rodrigues-capiberibe","O segundo governo de João Capiberibe se estendeu até 2002, quando renunciou para concorrer ao Senado Federal.","media","Renúncia para disputar o Senado. A data vem de dedução a partir da Folha de S.Paulo de terça-feira, 09/04/2002, que diz 'renunciou na sexta-feira', isto é, 05/04/2002 (último dia útil antes do prazo de desincompatibilização de 06/04/2002). O CPDOC confirma a forma e o ano, e o verbete de Dalva Figueiredo no CPDOC diz que ela assumiu 'Em abril de 2002'. Nenhuma fonte lida traz a data escrita por extenso. A Wikipédia em inglês dá 1º/04/2002, divergente de fim_wp (2002-04-05) e da Folha."
"M2006_AP_3_12_10081","GOVERNADOR","AP","2006","ANTONIO WALDEZ GÓES DA SILVA","renuncia","2010-04-03","ato","Pedro Paulo Dias (vice-governador)","http://g1.globo.com/politica/noticia/2010/09/ex-governador-do-amapa-waldez-goes-tambem-e-preso-diz-advogado.html","Desde 3 abril de 2010, é governador do Amapá. Ele assumiu após Waldez Góes ter deixado o cargo para se candidatar ao Senado.","https://web.archive.org/web/20110724150414/http://www.istoedinheiro.com.br/noticias/18410_DEZ+GOVERNADORES+DEVEM+DEIXAR+O+CARGO+ATE+SABADO","O governador do Amapá, Waldez Góes (PDT), desincompatibiliza-se até a data máxima prevista, no sábado. Góes concorre ao Senado.","media","Saída para disputar o Senado. O G1 (10/09/2010) dá 03/04/2010 como início do governo de Pedro Paulo Dias. A IstoÉ Dinheiro (31/03/2010, lida no Internet Archive) anunciava a saída para o sábado, 03/04/2010, último dia do prazo, mas é notícia prévia ao fato. O CPDOC/FGV (verbete gois-valdez) registra apenas 'Em abril de 2010, abdicou do governo amapaense para concorrer ao Senado Federal', e o Painel da Folha de 05/04/2010 já dá o Amapá como governado pelo PP. Divergências: fim_wp traz 2010-04-05, o texto da Wikipédia diz 4 de abril (citando a própria IstoÉ, que não diz isso) e uma nota da mesma página diz 1º de abril. Fonte oficial (Diário Oficial ou Assembleia do Amapá) não localizada."
"M1998_AP_4_131_300000304001311","VICE-GOVERNADOR","AP","1998","MARIA DALVA DE SOUZA FIGUEIREDO","assumiu_titular","2002-04-05","ato","","https://www18.fgv.br/cpdoc/acervo/dicionarios/verbete-biografico/figueiredo-dalva","Em abril de 2002 assumiu o governo do estado, quando o governador deixou o cargo para se candidatar a uma vaga no Senado Federal.","https://www1.folha.uol.com.br/fsp/brasil/fc0904200219.htm","O ex-governador do Amapá João Capiberibe (PSB) disse ontem [...] disse Capiberibe, que renunciou na sexta-feira para concorrer ao Senado.","media","Assumiu o governo em definitivo com a renúncia de João Capiberibe e governou até 01/01/2003 (a Folha de 28/10/2002, fc2810200284, a chama de 'governadora e candidata à reeleição'). O CPDOC dá só o mês. O dia 05/04/2002 é deduzido da Folha de terça-feira, 09/04/2002 ('renunciou na sexta-feira'). A biografia da Câmara dos Deputados (camara.leg.br/deputados/141502/biografia) registra 'Governador(a), AP, Partido: PT, Período: 2002 a 2002'. A Wikipédia em inglês dá 5 April 2002 para o início do governo dela."
"M2006_AP_4_12_10082","VICE-GOVERNADOR","AP","2006","PEDRO PAULO DIAS DE CARVALHO","assumiu_titular","2010-04-03","ato","","http://g1.globo.com/politica/noticia/2010/09/ex-governador-do-amapa-waldez-goes-tambem-e-preso-diz-advogado.html","Em 2006, foi reeleito como vice. Desde 3 abril de 2010, é governador do Amapá. Ele assumiu após Waldez Góes ter deixado o cargo para se candidatar ao Senado.","https://web.archive.org/web/20110724150414/http://www.istoedinheiro.com.br/noticias/18410_DEZ+GOVERNADORES+DEVEM+DEIXAR+O+CARGO+ATE+SABADO","O governador do Amapá, Waldez Góes (PDT), desincompatibiliza-se até a data máxima prevista, no sábado. Góes concorre ao Senado.","media","Assumiu o governo em definitivo com a saída de Waldez Góes para disputar o Senado. Só o G1 (10/09/2010) traz a data (03/04/2010). A IstoÉ Dinheiro (31/03/2010) é notícia prévia que previa a saída até o sábado, 03/04/2010. Divergência com fim_wp (2010-04-04) e com a nota da Wikipédia sobre Waldez (1º/04/2010). Já como governador, Pedro Paulo foi preso na Operação Mãos Limpas em 10/09/2010 e reassumiu ao ser solto (Estadão, 'Solto pela PF, Pedro Paulo reassume governo do AP'). Esse afastamento ocorreu no mandato de governador e não altera o fim do mandato de vice. Fonte oficial não localizada."
"M2014_AP_4_12_30000000099","VICE-GOVERNADOR","AP","2014","JOÃO BOSCO PAPALÉO PAES","renuncia","2018-08-07","ato","","https://g1.globo.com/ap/amapa/eleicoes/2018/noticia/2018/08/07/vice-governador-do-amapa-papaleo-paes-anuncia-que-vai-renunciar-ao-cargo.ghtml","O vice-governador do Amapá Papaléo Paes ( PSD ) anunciou renúncia do cargo na manhã desta terça-feira (7) após entrevista coletiva no Palácio do Setentrião [...] O pedido de saída foi protocolado na Assembleia Legislativa do Amapá (Alap).","https://www.diariodoamapa.com.br/cadernos/politica/medico-papaleo-paes-morre-aos-67-anos-vitima-da-covid-19/","A substituição gerou insatisfação e em 7 de agosto de 2018, Papaléo Paes reuniu a imprensa no Palácio do Setentrião, onde anunciou a renúncia do cargo.","alta","Renúncia depois que Waldez Góes escolheu Jaime Nunes como candidato a vice em 2018 (convenção de 04/08/2018). Carta protocolada na Alap em 07/08/2018. Seles Nafes (selesnafes.com/2020/06/aos-67-anos-morre-papaleo-paes/) traz legenda de foto com 'Papaléo lendo sua carta de renúncia no dia 8 de agosto de 2018', um dia depois, e não se sabe se a leitura foi um ato distinto. O G1 de 26/06/2020 confirma: 'Permaneceu na função até agosto de 2018, quando renunciou ao cargo'. O cargo de vice ficou sem ocupante até 01/01/2019 segundo a lista (sucessor_wp Jaime Nunes, 2019-01-01), fato não verificado em fonte. A sigla PSD no G1 diverge da filiação PP registrada em outras fontes."
