"casa","sg_uf","legislatura","nome_alt","tipo_ocupante","id_mandato_cadeira","fonte_oficial","trecho_oficial","confianca","observacao","inicio_a_partir_de"
"camara","SC","54","ZONTA","empossado_antes_da_retotalizacao","M2010_SC_6_1111_240000000094","https://www.camara.leg.br/noticias/218028-camara-dara-posse-imediata-a-deputados-eleitos-em-recontagem-de-votos","Eles vão substituir, respectivamente, os deputados Zonta (PP-SC), Ságuas Moraes (PT-MT), Professora Marcivânia (PT-AP) e Delegado Waldir (PSDB-GO), que deixam os mandatos.","alta","",""
"camara","RR","54","FRANCISCO ARAÚJO","substituto_por_decisao","M2010_RR_6_4456_230000000517","https://www.camara.leg.br/deputados/160634/biografia","Perdeu o mandato de Deputado Federal por decisão da Justiça Eleitoral, em 11/05/2011, assumindo, como Titular, o Deputado Dr. Francisco Araújo (PSL-RR).","media","",""
"camara","MG","55","FRANKLIN","substituto_por_decisao","M2014_MG_6_1350_130000000832","https://www.camara.leg.br/deputados/186775/biografia","Assumiu, como Titular, o mandato de Deputado Federal, na Legislatura 2015-2019, a partir de 9 de março de 2015, em virtude do Ato da Mesa nº 10/2015, retotalização do resultado das eleições proporcionais de 2014 no Estado de Minas Gerais","alta","",""
"camara","AC","52","RONIVON SANTIAGO","eleito_cassado_depois","M2002_AC_6_1588_244","https://noticias.stf.jus.br/postsnoticias/supremo-mantem-decisao-do-tse-sobre-cassacao-do-deputado-federal-ronivon-santiago/","cassado pela justiça eleitoral por prática ilícita de captação de votos, conforme previsto pelo artigo 41-A da Lei 9504/97.","alta","",""
"camara","AC","52","NARCISO MENDES","eleito_cassado_depois","M2002_AC_6_1111_268","https://www.camara.leg.br/deputados/73499/biografia","Perdeu o mandato de Deputado Federal na legislatura 2003-2007, por força de decisão do TRE-AC( Decisão da Mesa, ""ad referendum"", em 7 de maio de 2003. Publicado no DCD de 08/05/03, p. 19077.","media","",""
"camara","AC","56","Manuel Marcos","eleito_cassado_depois","M2018_AC_6_1331_10000608399","https://www.camara.leg.br/deputados/204469/biografia","Perdeu o mandato de Deputado(a) Federal, na Legislatura 2019-2023, em 5 de Novembro de 2020, em virtude de Perda de Mandato por Recontagem de Votos.","alta","",""
"camara","MT","56","Neri Geller","eleito_cassado_depois","M2018_MT_6_4522_110000621355","https://www.tse.jus.br/comunicacao/noticias/2022/Agosto/tse-cassa-mandato-de-deputado-federal-que-utilizou-recursos-de-pessoas-juridicas-na-campanha-eleitoral-de-2018","Com a decisão desta terça-feira (23), o parlamentar, que é pré-candidato ao Senado Federal pelo Mato Grosso, terá cassado o seu diploma, perderá o mandato e ficará inelegível por oito anos.","alta","",""
"camara","SE","56","Valdevan Noventa","eleito_cassado_depois","M2018_SE_6_1313_260000623622","https://www.camara.leg.br/deputados/204385/biografia","Perdeu o mandato de Deputado(a) Federal, na Legislatura 2019-2023, em 27 de Abril de 2022, em virtude de Perda de Mandato por Recontagem de Votos","alta","",""
"camara","AL","57","Paulão","empossado_antes_da_retotalizacao","M2022_AL_6_1010_20001652450","https://www.camara.leg.br/deputados/171617/biografia","Torna-se suplente por retotalização na Legislatura 2023-2027, em 9 de Julho de 2026 - Lançamento de decisão Judicial.","alta","",""
"camara","CE","57","Dayany Bittencourt","empossado_antes_da_retotalizacao","M2022_CE_6_2288_60001614167","https://www.camara.leg.br/deputados/220659/biografia","Torna-se suplente por retotalização na Legislatura 2023-2027, em 9 de Julho de 2026 - Lançamento de decisão Judicial.","alta","",""
"camara","AP","57","Aline Gurgel","entrou_por_retotalizacao","M2022_AP_6_1510_30001605452","https://dadosabertos.camara.leg.br/api/v2/deputados/204353/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","media","",""
"camara","AP","57","André Abdon","entrou_por_retotalizacao","M2022_AP_6_2225_30001648516","https://dadosabertos.camara.leg.br/api/v2/deputados/178831/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","alta","",""
"camara","AP","57","Professora Marcivania","entrou_por_retotalizacao","M2022_AP_6_1234_30001601833","https://dadosabertos.camara.leg.br/api/v2/deputados/160641/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","alta","",""
"camara","AP","57","Paulo Lemos","entrou_por_retotalizacao","M2022_AP_6_2210_30001648510","https://dadosabertos.camara.leg.br/api/v2/deputados/233592/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","alta","",""
"camara","DF","57","Rodrigo Rollemberg","entrou_por_retotalizacao","M2022_DF_6_1015_70001615669","https://dadosabertos.camara.leg.br/api/v2/deputados/141533/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","alta","",""
"camara","TO","57","Tiago Dimas","entrou_por_retotalizacao","M2022_TO_6_1145_270001643406","https://dadosabertos.camara.leg.br/api/v2/deputados/143084/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","alta","",""
"camara","PR","57","Luiz Carlos Hauly","substituto_por_decisao","M2022_PR_6_1919_160001654827","https://dadosabertos.camara.leg.br/api/v2/deputados/73778/historico","DIVERSO - Decisão da Mesa - Convocado para posse como titular por recontagem de votos","alta","",""
"senado","MT","56","Carlos Fávaro","eleito_em_suplementar","M2018_MT_5_170_110000613185","https://legis.senado.leg.br/dadosabertos/senador/6295/mandatos.json","{""CodigoExercicio"":""2960"",""DataInicio"":""2020-12-15"",""DataFim"":""2022-06-07"",""SiglaCausaAfastamento"":""LCS""","alta","eleito na suplementar de 15/11/2020, na cadeira aberta pela cassacao de Selma Arruda","2020-12-15"
"camara","RO","57","Rafael Fera","entrou_por_retotalizacao","M2022_RO_6_4429_220001605553","https://www.rondoniagora.com/politica/camara-dos-deputados-declara-perda-de-mandato-de-lebrao","Câmara dos Deputados declara perda de mandato de Lebrão","media","historico da Camara: Convocado para posse como titular por recontagem de votos em 30/07/2025 e posse em 31/07/2025",""
